date,PP1,PP1_updated_date,PP2,PP2_updated_date
2022-01-01,False,2021-12-31T16:44:50+01:00,False,2021-12-31T16:44:50+01:00
2022-01-02,False,2022-01-01T16:42:59+01:00,False,2022-01-01T16:42:59+01:00
2022-01-03,False,2022-01-02T16:42:44+01:00,False,2022-01-02T16:42:44+01:00
2022-01-04,False,2022-01-03T16:43:04+01:00,False,2022-01-03T16:43:04+01:00
2022-01-05,False,2022-01-04T16:43:38+01:00,False,2022-01-04T16:43:38+01:00
2022-01-06,False,2022-01-05T16:43:27+01:00,False,2022-01-05T16:43:27+01:00
2022-01-07,False,2022-01-06T16:45:01+01:00,False,2022-01-06T16:45:01+01:00
2022-01-08,False,2022-01-07T16:45:00+01:00,False,2022-01-07T16:45:00+01:00
2022-01-09,False,2022-01-08T16:44:01+01:00,False,2022-01-08T16:44:01+01:00
2022-01-10,False,2022-01-09T16:43:38+01:00,False,2022-01-09T16:43:38+01:00
2022-01-11,False,2022-01-10T16:44:33+01:00,False,2022-01-10T16:44:33+01:00
2022-01-12,True,2022-01-11T06:20:09+01:00,True,2022-01-11T06:20:09+01:00
2022-01-13,True,2022-01-12T06:18:07+01:00,True,2022-01-12T06:18:07+01:00
2022-01-14,True,2022-01-13T06:20:11+01:00,True,2022-01-13T06:20:11+01:00
2022-01-15,False,2022-01-14T16:44:24+01:00,False,2022-01-14T16:44:24+01:00
2022-01-16,False,2022-01-15T16:44:19+01:00,False,2022-01-15T16:44:19+01:00
2022-01-17,True,2022-01-16T06:22:10+01:00,True,2022-01-16T06:22:10+01:00
2022-01-18,True,2022-01-17T06:17:48+01:00,True,2022-01-17T06:17:48+01:00
2022-01-19,True,2022-01-18T06:17:48+01:00,True,2022-01-18T06:17:48+01:00
2022-01-20,False,2022-01-19T16:44:36+01:00,False,2022-01-19T16:44:36+01:00
2022-01-21,False,2022-01-20T16:42:48+01:00,False,2022-01-20T16:42:48+01:00
2022-01-22,False,2022-01-21T16:43:35+01:00,False,2022-01-21T16:43:35+01:00
2022-01-23,False,2022-01-22T16:44:15+01:00,False,2022-01-22T16:44:15+01:00
2022-01-24,False,2022-01-23T16:43:47+01:00,False,2022-01-23T16:43:47+01:00
2022-01-25,True,2022-01-24T06:18:41+01:00,True,2022-01-24T06:18:41+01:00
2022-01-26,True,2022-01-25T06:18:15+01:00,True,2022-01-25T06:18:15+01:00
2022-01-27,True,2022-01-26T06:18:11+01:00,True,2022-01-26T06:18:11+01:00
2022-01-28,False,2022-01-27T16:43:49+01:00,False,2022-01-27T16:43:49+01:00
2022-01-29,False,2022-01-28T16:44:09+01:00,False,2022-01-28T16:44:09+01:00
2022-01-30,False,2022-01-29T16:44:53+01:00,False,2022-01-29T16:44:53+01:00
2022-01-31,False,2022-01-30T16:44:34+01:00,False,2022-01-30T16:44:34+01:00
2022-02-01,False,2022-01-31T16:43:24+01:00,False,2022-01-31T16:43:24+01:00
2022-02-02,False,2022-02-01T16:44:42+01:00,False,2022-02-01T16:44:42+01:00
2022-02-03,False,2022-02-02T16:44:18+01:00,False,2022-02-02T16:44:18+01:00
2022-02-04,False,2022-02-03T16:44:41+01:00,False,2022-02-03T16:44:41+01:00
2022-02-05,False,2022-02-04T16:44:25+01:00,False,2022-02-04T16:44:25+01:00
2022-02-06,False,2022-02-05T16:43:50+01:00,False,2022-02-05T16:43:50+01:00
2022-02-07,False,2022-02-06T16:43:35+01:00,False,2022-02-06T16:43:35+01:00
2022-02-08,False,2022-02-07T16:44:42+01:00,False,2022-02-07T16:44:42+01:00
2022-02-09,False,2022-02-08T16:44:01+01:00,False,2022-02-08T16:44:01+01:00
2022-02-10,False,2022-02-09T16:44:51+01:00,False,2022-02-09T16:44:51+01:00
2022-02-11,False,2022-02-10T16:44:34+01:00,False,2022-02-10T16:44:34+01:00
2022-02-12,False,2022-02-11T16:44:00+01:00,False,2022-02-11T16:44:00+01:00
2022-02-13,False,2022-02-12T16:43:38+01:00,False,2022-02-12T16:43:38+01:00
2022-02-14,False,2022-02-13T16:44:20+01:00,False,2022-02-13T16:44:20+01:00
2022-02-15,False,2022-02-14T16:44:10+01:00,False,2022-02-14T16:44:10+01:00
2022-02-16,False,2022-02-15T16:43:57+01:00,False,2022-02-15T16:43:57+01:00
2022-02-17,False,2022-02-16T16:45:00+01:00,False,2022-02-16T16:45:00+01:00
2022-02-18,False,2022-02-17T16:43:43+01:00,False,2022-02-17T16:43:43+01:00
